"""Question ID"",""Subject"",""Question Text"",""Options"",""Correct Answer"",""Difficulty Level"",""Skill Type"",""Topic"",""Subtopic"""
"""Q021"",""Mathematics"",""The equation of a line passing through (1, 2) with slope 2 is:"",""A) y - 2x = 0;B) y - 2x = 1;C) y - 2x = 2;D) y + 2x = 1"",""A"",""Medium"",""Formula Application"",""Coordinate Geometry"",""Straight Lines"""
"""Q022"",""Mathematics"",""What is ∫ x³ dx?"",""A) x⁴;B) x⁴/4;C) x³/3;D) 4x³"",""B"",""Medium"",""Formula Application"",""Calculus"",""Indefinite Integrals"""
"""Q023"",""Mathematics"",""If 3^x = 27, what is x?"",""A) 2;B) 3;C) 4;D) 5"",""B"",""Medium"",""Formula Application"",""Logarithms"",""Exponential Equations"""
"""Q024"",""Mathematics"",""What is the minimum value of cos θ?"",""A) 0;B) 1;C) -1;D) -∞"",""C"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"",""Trigonometric Functions"""
"""Q025"",""Mathematics"",""The roots of x² + 3x - 10 = 0 are:"",""A) -5 and 2;B) -2 and 5;C) 1 and -10;D) 2 and -5"",""A"",""Medium"",""Formula Application"",""Quadratic Equations"",""Roots of Equations"""
"""Q026"",""Mathematics"",""What is the derivative of sin x?"",""A) cos x;B) -sin x;C) sin x;D) -cos x"",""A"",""Medium"",""Formula Application"",""Calculus"",""Differentiation"""
"""Q027"",""Mathematics"",""The number of ways to choose 3 items from 6 is:"",""A) 15;B) 20;C) 25;D) 30"",""B"",""Medium"",""Formula Application"",""Permutations and Combinations"",""Combinations"""
"""Q028"",""Mathematics"",""What is the area of a triangle with base 8 cm and height 5 cm?"",""A) 20 cm²;B) 25 cm²;C) 30 cm²;D) 40 cm²"",""A"",""Easy"",""Formula Application"",""Geometry"",""Area of Triangle"""
"""Q029"",""Mathematics"",""If 4x + 3y = 18 and x + y = 5, what is x?"",""A) 2;B) 3;C) 4;D) 5"",""B"",""Medium"",""Analytical Skills"",""Linear Equations"",""System of Equations"""
"""Q030"",""Mathematics"",""What is the value of cot 30°?"",""A) 1;B) √2;C) √3;D) 2"",""C"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"",""Trigonometric Ratios"""
"""Q031"",""Mathematics"",""The sum of an infinite geometric series with first term 2 and common ratio 1/3 is:"",""A) 2;B) 3;C) 4;D) 6"",""B"",""Medium"",""Formula Application"",""Sequences and Series"",""Geometric Progression"""
"""Q032"",""Mathematics"",""What is the limit of 1/x² as x approaches ∞?"",""A) 0;B) 1;C) ∞;D) -∞"",""A"",""Medium"",""Conceptual Understanding"",""Calculus"",""Limits"""
"""Q033"",""Mathematics"",""If a = 2i + 3j and b = i - 2j, what is a · b?"",""A) -4;B) -2;C) 0;D) 2"",""A"",""Medium"",""Formula Application"",""Vectors"",""Dot Product"""
"""Q034"",""Mathematics"",""What is the inverse of the function y = 2x - 3?"",""A) y = (x+3)/2;B) y = 2x + 3;C) y = x/2;D) y = (x-3)/2"",""A"",""Medium"",""Formula Application"",""Functions"",""Inverse Functions"""
"""Q035"",""Mathematics"",""The roots of x³ - 6x² + 11x - 6 = 0 are:"",""A) 1, 2, 3;B) 2, 3, 4;C) 1, 3, 4;D) 1, 2, 4"",""A"",""Hard"",""Analytical Skills"",""Algebra"",""Polynomial Equations"""
"""Q036"",""Mathematics"",""What is ∫₀π/2 cos x dx?"",""A) 0;B) 1;C) 2;D) 3"",""B"",""Hard"",""Formula Application"",""Calculus"",""Definite Integrals"""
"""Q037"",""Mathematics"",""The probability of getting at least one 6 in 2 rolls of a die is:"",""A) 1/6;B) 11/36;C) 5/36;D) 1/3"",""B"",""Medium"",""Analytical Skills"",""Probability"",""Compound Probability"""
"""Q038"",""Mathematics"",""What is the value of tan 90°?"",""A) 0;B) 1;C) ∞;D) Undefined"",""D"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"",""Trigonometric Ratios"""
"""Q039"",""Mathematics"",""If log₄ 64 = x, what is x?"",""A) 2;B) 3;C) 4;D) 5"",""B"",""Medium"",""Formula Application"",""Logarithms"",""Logarithmic Equations"""
"""Q040"",""Mathematics"",""The equation of a circle with center (-2, 3) and radius 5 is:"",""A) (x+2)² + (y-3)² = 25;B) (x-2)² + (y+3)² = 25;C) (x+2)² + (y-3)² = 5;D) (x-3)² + (y+2)² = 25"",""A"",""Medium"",""Formula Application"",""Coordinate Geometry"",""Equation of Circle"""
"""Q041"",""Mathematics"",""What is the derivative of cos x?"",""A) sin x;B) -sin x;C) cos x;D) -cos x"",""B"",""Medium"",""Formula Application"",""Calculus"",""Differentiation"""
"""Q042"",""Mathematics"",""The number of terms in the expansion of (x + y)⁵ is:"",""A) 5;B) 6;C) 7;D) 8"",""B"",""Medium"",""Conceptual Understanding"",""Algebra"",""Binomial Theorem"""
"""Q043"",""Mathematics"",""What is the sum of the interior angles of a hexagon?"",""A) 540°;B) 720°;C) 900°;D) 1080°"",""B"",""Easy"",""Definition-Based Knowledge"",""Geometry"",""Polygons"""
"""Q044"",""Mathematics"",""If 6x - 4 = 14, what is x?"",""A) 2;B) 3;C) 4;D) 5"",""B"",""Easy"",""Formula Application"",""Linear Equations"",""Solving Equations"""
"""Q045"",""Mathematics"",""What is the value of sin² 60° + cos² 60°?"",""A) 0;B) 1/2;C) 1;D) 2"",""C"",""Easy"",""Formula Application"",""Trigonometry"",""Trigonometric Identities"""
"""Q046"",""Mathematics"",""The roots of 3x² - 7x + 2 = 0 are:"",""A) 1/3 and 2;B) 1 and 2;C) 1/3 and 3;D) 2 and 3"",""A"",""Medium"",""Formula Application"",""Quadratic Equations"",""Roots of Equations"""
"""Q047"",""Mathematics"",""What is ∫₀¹ (2x + 1) dx?"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Medium"",""Formula Application"",""Calculus"",""Definite Integrals"""
"""Q048"",""Mathematics"",""If a + b + c = 0 and a² + b² + c² = 14, what is ab + bc + ca?"",""A) -7;B) 0;C) 7;D) 14"",""A"",""Hard"",""Analytical Skills"",""Algebra"",""Identities"""
"""Q049"",""Mathematics"",""The probability of drawing a black card from a standard deck of 52 cards is:"",""A) 1/4;B) 1/3;C) 1/2;D) 2/3"",""C"",""Easy"",""Conceptual Understanding"",""Probability"",""Basic Probability"""
"""Q050"",""Mathematics"",""What is the determinant of [[2, 0], [0, 3]]?"",""A) 0;B) 2;C) 3;D) 6"",""D"",""Easy"",""Formula Application"",""Matrices"",""Determinants"""
"""Q051"",""Mathematics"",""What is the value of √(144)?"",""A) 10;B) 11;C) 12;D) 13"",""C"",""Easy"",""Formula Application"",""Algebra"",""Square Roots"""
"""Q052"",""Mathematics"",""If sin θ = 5/13, what is cos θ?"",""A) 12/13;B) 5/12;C) 13/12;D) 12/5"",""A"",""Medium"",""Formula Application"",""Trigonometry"",""Pythagorean Identity"""
"""Q053"",""Mathematics"",""The sum of the series 2 + 6 + 10 + ... + 38 is:"",""A) 200;B) 210;C) 220;D) 230"",""A"",""Medium"",""Formula Application"",""Sequences and Series"",""Arithmetic Progression"""
"""Q054"",""Mathematics"",""The slope of the line passing through (2, 3) and (5, 9) is:"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Medium"",""Formula Application"",""Coordinate Geometry"",""Straight Lines"""
"""Q055"",""Mathematics"",""What is ∫ 2/x dx?"",""A) 2x;B) 2 ln x;C) ln x;D) x²"",""B"",""Medium"",""Formula Application"",""Calculus"",""Indefinite Integrals"""
"""Q056"",""Mathematics"",""If 5^x = 125, what is x?"",""A) 2;B) 3;C) 4;D) 5"",""B"",""Medium"",""Formula Application"",""Logarithms"",""Exponential Equations"""
"""Q057"",""Mathematics"",""What is the maximum value of sin θ + cos θ?"",""A) 1;B) √2;C) 2;D) ∞"",""B"",""Hard"",""Analytical Skills"",""Trigonometry"",""Trigonometric Functions"""
"""Q058"",""Mathematics"",""The roots of x² - 6x + 9 = 0 are:"",""A) 2 and 4;B) 3 and 3;C) 1 and 5;D) 2 and 5"",""B"",""Medium"",""Formula Application"",""Quadratic Equations"",""Roots of Equations"""
"""Q059"",""Mathematics"",""What is the derivative of x⁵?"",""A) 5x⁴;B) 4x³;C) 3x²;D) x⁴"",""A"",""Medium"",""Formula Application"",""Calculus"",""Differentiation"""
"""Q060"",""Mathematics"",""The number of ways to choose 4 students from 8 is:"",""A) 60;B) 70;C) 80;D) 90"",""B"",""Medium"",""Formula Application"",""Permutations and Combinations"",""Combinations"""
"""Q061"",""Mathematics"",""What is the area of a rectangle with length 10 cm and width 4 cm?"",""A) 30 cm²;B) 40 cm²;C) 50 cm²;D) 60 cm²"",""B"",""Easy"",""Formula Application"",""Geometry"",""Area of Rectangle"""
"""Q062"",""Mathematics"",""If 3x + 2y = 12 and x + y = 5, what is x?"",""A) 2;B) 3;C) 4;D) 5"",""A"",""Medium"",""Analytical Skills"",""Linear Equations"",""System of Equations"""
"""Q063"",""Mathematics"",""What is the value of sec 0°?"",""A) 0;B) 1;C) ∞;D) Undefined"",""B"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"",""Trigonometric Ratios"""
"""Q064"",""Mathematics"",""The sum of an arithmetic series with first term 3, last term 27, and 10 terms is:"",""A) 150;B) 165;C) 180;D) 195"",""A"",""Medium"",""Formula Application"",""Sequences and Series"",""Arithmetic Progression"""
"""Q065"",""Mathematics"",""What is the limit of (x³ - 27)/(x - 3) as x approaches 3?"",""A) 9;B) 18;C) 27;D) 36"",""C"",""Hard"",""Analytical Skills"",""Calculus"",""Limits"""
"""Q066"",""Mathematics"",""If a = 3i - j and b = 2i + 2j, what is a · b?"",""A) 4;B) 5;C) 6;D) 7"",""A"",""Medium"",""Formula Application"",""Vectors"",""Dot Product"""
" ""Q001"",""Physics"",""A particle moves with an initial velocity of 10 m/s and an acceleration of 2 m/s² for 5 s. What is the distance traveled?"",""A) 50 m;B) 75 m;C) 100 m;D) 125 m"",""B"",""Medium"",""Formula Application"",""Kinematics"",""Motion in a Straight Line"""
"""Q002"",""Physics"",""If the spring constant k is doubled, how does the potential energy of a spring change for the same extension?"",""A) Halves;B) Remains same;C) Doubles;D) Quadruples"",""C"",""Easy"",""Conceptual Understanding"",""Work and Energy"",""Elastic Potential Energy"""
"""Q003"",""Chemistry"",""What is the hybridization of carbon in CH₄?"",""A) sp;B) sp²;C) sp³;D) dsp²"",""C"",""Easy"",""Definition-Based Knowledge"",""Chemical Bonding"",""Hybridization"""
"""Q004"",""Chemistry"",""What is the molarity of Na⁺ ions in a 0.1 M NaCl solution?"",""A) 0.05 M;B) 0.1 M;C) 0.2 M;D) 0.15 M"",""B"",""Medium"",""Analytical Skills"",""Solutions"",""Molarity"""
"""Q005"",""Mathematics"",""If sin θ + cos θ = 1, what is sin θ cos θ?"",""A) 0;B) 1/2;C) 1;D) 1/4"",""A"",""Hard"",""Logical Reasoning"",""Trigonometry"",""Trigonometric Identities"""
"""Q006"",""Mathematics"",""What is ∫₀¹ x² dx?"",""A) 1/3;B) 1/2;C) 1;D) 2/3"",""A"",""Medium"",""Formula Application"",""Calculus"",""Definite Integrals"""
"""Q007"",""Physics"",""A body is projected upward at 20 m/s. What is the maximum height? (g = 10 m/s²)"",""A) 10 m;B) 20 m;C) 30 m;D) 40 m"",""B"",""Easy"",""Formula Application"",""Projectile Motion"",""Vertical Motion"""
"""Q008"",""Chemistry"",""Which gas has the highest diffusion rate?"",""A) H₂;B) O₂;C) N₂;D) CO₂"",""A"",""Medium"",""Conceptual Understanding"",""States of Matter"",""Graham’s Law"""
"""Q009"",""Mathematics"",""The roots of x² - 5x + 6 = 0 are:"",""A) 2 and 3;B) 1 and 6;C) -2 and -3;D) 5 and 1"",""A"",""Easy"",""Formula Application"",""Quadratic Equations"",""Roots of Equations"""
"""Q010"",""Physics"",""Two resistors, 4 Ω and 6 Ω, are in parallel. What is the equivalent resistance?"",""A) 2.4 Ω;B) 5 Ω;C) 10 Ω;D) 1.5 Ω"",""A"",""Medium"",""Formula Application"",""Electricity"",""Parallel Circuits"""
"""Q011"",""Physics"",""A car accelerates from rest at 5 m/s² for 4 s. What is its final velocity?"",""A) 10 m/s;B) 15 m/s;C) 20 m/s;D) 25 m/s"",""C"",""Easy"",""Formula Application"",""Kinematics"",""Uniformly Accelerated Motion"""
"""Q012"",""Chemistry"",""What is the oxidation state of sulfur in H₂SO₄?"",""A) +2;B) +4;C) +6;D) +8"",""C"",""Medium"",""Analytical Skills"",""Redox Reactions"",""Oxidation Number"""
"""Q013"",""Mathematics"",""What is the value of tan 45°?"",""A) 0;B) 1;C) √2;D) √3"",""B"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"",""Trigonometric Ratios"""
"""Q014"",""Physics"",""A 2 kg object falls freely for 2 s. What is its momentum? (g = 10 m/s²)"",""A) 20 kg·m/s;B) 40 kg·m/s;C) 60 kg·m/s;D) 80 kg·m/s"",""B"",""Medium"",""Formula Application"",""Laws of Motion"",""Momentum"""
"""Q015"",""Chemistry"",""Which element has the highest electronegativity?"",""A) Na;B) Cl;C) F;D) O"",""C"",""Easy"",""Definition-Based Knowledge"",""Periodic Table"",""Electronegativity"""
"""Q016"",""Mathematics"",""If 2x + 3 = 7, what is x?"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Easy"",""Formula Application"",""Linear Equations"",""Solving Equations"""
"""Q017"",""Physics"",""A wave has a frequency of 10 Hz and wavelength of 2 m. What is its speed?"",""A) 5 m/s;B) 10 m/s;C) 20 m/s;D) 40 m/s"",""C"",""Medium"",""Formula Application"",""Waves"",""Wave Speed"""
"""Q018"",""Chemistry"",""What is the pH of a 0.01 M HCl solution?"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Medium"",""Analytical Skills"",""Acids and Bases"",""pH Calculation"""
"""Q019"",""Mathematics"",""What is the derivative of x³?"",""A) x²;B) 2x;C) 3x²;D) 3x"",""C"",""Medium"",""Formula Application"",""Calculus"",""Differentiation"""
"""Q020"",""Physics"",""A charge of 2 C experiences a force of 10 N in an electric field. What is the field strength?"",""A) 2 N/C;B) 5 N/C;C) 10 N/C;D) 20 N/C"",""B"",""Medium"",""Formula Application"",""Electrostatics"",""Electric Field"""
"""Q021"",""Physics"",""A ball is thrown at 30° with a speed of 20 m/s. What is the horizontal range? (g = 10 m/s²)"",""A) 20√3 m;B) 30√3 m;C) 40√3 m;D) 50√3 m"",""C"",""Hard"",""Formula Application"",""Projectile Motion"",""Range"""
"""Q022"",""Chemistry"",""What is the IUPAC name of CH₃CH₂OH?"",""A) Methanol;B) Ethanol;C) Propanol;D) Butanol"",""B"",""Easy"",""Definition-Based Knowledge"",""Organic Chemistry"",""Nomenclature"""
"""Q023"",""Mathematics"",""If log₂ 8 = x, what is x?"",""A) 1;B) 2;C) 3;D) 4"",""C"",""Medium"",""Formula Application"",""Logarithms"",""Logarithmic Equations"""
"""Q024"",""Physics"",""A lens has a focal length of 20 cm. What is its power?"",""A) 2 D;B) 5 D;C) 10 D;D) 20 D"",""B"",""Medium"",""Formula Application"",""Optics"",""Lens Power"""
"""Q025"",""Chemistry"",""Which of these is a noble gas?"",""A) Ne;B) N;C) O;D) F"",""A"",""Easy"",""Definition-Based Knowledge"",""Periodic Table"",""Noble Gases"""
"""Q026"",""Mathematics"",""The sum of the first 10 natural numbers is:"",""A) 45;B) 55;C) 65;D) 75"",""B"",""Medium"",""Formula Application"",""Sequences and Series"",""Arithmetic Progression"""
"""Q027"",""Physics"",""A 5 kg block slides down a frictionless incline at 30°. What is the acceleration? (g = 10 m/s²)"",""A) 2.5 m/s²;B) 5 m/s²;C) 7.5 m/s²;D) 10 m/s²"",""B"",""Medium"",""Formula Application"",""Laws of Motion"",""Inclined Plane"""
"""Q028"",""Chemistry"",""What is the molar mass of H₂O?"",""A) 16 g/mol;B) 18 g/mol;C) 20 g/mol;D) 22 g/mol"",""B"",""Easy"",""Definition-Based Knowledge"",""Mole Concept"",""Molar Mass"""
"""Q029"",""Mathematics"",""If a + b = 5 and ab = 6, what is a² + b²?"",""A) 13;B) 15;C) 17;D) 19"",""A"",""Hard"",""Analytical Skills"",""Algebra"",""Identities"""
"""Q030"",""Physics"",""A current of 2 A flows through a 5 Ω resistor. What is the power dissipated?"",""A) 10 W;B) 20 W;C) 30 W;D) 40 W"",""B"",""Medium"",""Formula Application"",""Electricity"",""Power"""
"""Q031"",""Physics"",""A planet has twice the mass and twice the radius of Earth. What is the gravitational acceleration? (g_Earth = 10 m/s²)"",""A) 5 m/s²;B) 10 m/s²;C) 15 m/s²;D) 20 m/s²"",""A"",""Hard"",""Analytical Skills"",""Gravitation"",""Gravitational Field"""
"""Q032"",""Chemistry"",""Which compound is most acidic?"",""A) CH₄;B) NH₃;C) H₂O;D) HF"",""D"",""Medium"",""Conceptual Understanding"",""Acids and Bases"",""Acidity Trends"""
"""Q033"",""Mathematics"",""What is the area of a circle with radius 7 cm?"",""A) 49π cm²;B) 14π cm²;C) 21π cm²;D) 28π cm²"",""A"",""Easy"",""Formula Application"",""Coordinate Geometry"",""Circles"""
"""Q034"",""Physics"",""A sound wave has a speed of 340 m/s and frequency of 170 Hz. What is its wavelength?"",""A) 0.5 m;B) 1 m;C) 2 m;D) 4 m"",""C"",""Medium"",""Formula Application"",""Waves"",""Sound Waves"""
"""Q035"",""Chemistry"",""What is the bond order of O₂?"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Medium"",""Conceptual Understanding"",""Chemical Bonding"",""Molecular Orbital Theory"""
"""Q036"",""Mathematics"",""If 3x² - 12 = 0, what is x?"",""A) ±1;B) ±2;C) ±3;D) ±4"",""B"",""Medium"",""Formula Application"",""Quadratic Equations"",""Solving Equations"""
"""Q037"",""Physics"",""A mirror forms an image at infinity. What type is it?"",""A) Plane;B) Concave;C) Convex;D) Spherical"",""B"",""Medium"",""Conceptual Understanding"",""Optics"",""Concave Mirrors"""
"""Q038"",""Chemistry"",""Which metal is most reactive?"",""A) Na;B) Mg;C) Al;D) Fe"",""A"",""Easy"",""Definition-Based Knowledge"",""Periodic Table"",""Reactivity Series"""
"""Q039"",""Mathematics"",""What is cos 60°?"",""A) 0;B) 1/2;C) √3/2;D) 1"",""B"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"",""Trigonometric Ratios"""
"""Q040"",""Physics"",""A 10 kg mass is lifted 2 m. What is the work done? (g = 10 m/s²)"",""A) 100 J;B) 200 J;C) 300 J;D) 400 J"",""B"",""Easy"",""Formula Application"",""Work and Energy"",""Work"""
"""Q041"",""Physics"",""A capacitor of 2 µF is charged to 100 V. What is the energy stored?"",""A) 0.01 J;B) 0.02 J;C) 0.03 J;D) 0.04 J"",""A"",""Medium"",""Formula Application"",""Electrostatics"",""Capacitors"""
"""Q042"",""Chemistry"",""What is the product of CH₃COOH + NaOH?"",""A) CH₃COONa + H₂O;B) CH₃OH + NaCl;C) CH₄ + CO₂;D) CH₃COOH₂"",""A"",""Medium"",""Conceptual Understanding"",""Organic Chemistry"",""Neutralization Reactions"""
"""Q043"",""Mathematics"",""The slope of the line y = 2x + 3 is:"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Easy"",""Formula Application"",""Coordinate Geometry"",""Straight Lines"""
"""Q044"",""Physics"",""A body cools from 100°C to 70°C in 5 min. What is the rate of cooling?"",""A) 2°C/min;B) 4°C/min;C) 6°C/min;D) 8°C/min"",""C"",""Medium"",""Analytical Skills"",""Heat and Thermodynamics"",""Newton’s Law of Cooling"""
"""Q045"",""Chemistry"",""Which has the highest boiling point?"",""A) CH₄;B) CH₃CH₃;C) CH₃CH₂CH₃;D) CH₃CH₂CH₂CH₃"",""D"",""Medium"",""Conceptual Understanding"",""Organic Chemistry"",""Intermolecular Forces"""
"""Q046"",""Mathematics"",""If f(x) = x² + 1, what is f(2)?"",""A) 3;B) 4;C) 5;D) 6"",""C"",""Easy"",""Formula Application"",""Functions"",""Function Evaluation"""
"""Q047"",""Physics"",""A projectile is launched at 45° with 20 m/s. What is the time of flight? (g = 10 m/s²)"",""A) 2√2 s;B) 2 s;C) 4 s;D) 4√2 s"",""A"",""Hard"",""Formula Application"",""Projectile Motion"",""Time of Flight"""
"""Q048"",""Chemistry"",""What is the atomic number of chlorine?"",""A) 16;B) 17;C) 18;D) 19"",""B"",""Easy"",""Definition-Based Knowledge"",""Atomic Structure"",""Atomic Number"""
"""Q049"",""Mathematics"",""What is ∫ x dx?"",""A) x;B) x²;C) x²/2;D) 2x"",""C"",""Medium"",""Formula Application"",""Calculus"",""Indefinite Integrals"""
"""Q050"",""Physics"",""A 100 W bulb is on for 2 hours. What is the energy consumed?"",""A) 0.2 kWh;B) 0.4 kWh;C) 0.6 kWh;D) 0.8 kWh"",""A"",""Medium"",""Formula Application"",""Electricity"",""Energy Consumption"""
"""Q051"",""Physics"",""A pendulum has a period of 2 s on Earth. What is its length? (g = 10 m/s²)"",""A) 0.5 m;B) 1 m;C) 1.5 m;D) 2 m"",""B"",""Medium"",""Formula Application"",""Oscillations"",""Simple Pendulum"""
"""Q052"",""Chemistry"",""Which is a greenhouse gas?"",""A) N₂;B) O₂;C) CO₂;D) H₂"",""C"",""Easy"",""Definition-Based Knowledge"",""Environmental Chemistry"",""Greenhouse Effect"""
"""Q053"",""Mathematics"",""If 2^x = 16, what is x?"",""A) 2;B) 3;C) 4;D) 5"",""C"",""Medium"",""Formula Application"",""Logarithms"",""Exponential Equations"""
"""Q054"",""Physics"",""A convex lens forms a real image twice the size of the object. What is the magnification?"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Medium"",""Conceptual Understanding"",""Optics"",""Magnification"""
"""Q055"",""Chemistry"",""What is the formula of sulfuric acid?"",""A) H₂SO₃;B) H₂SO₄;C) HSO₄;D) H₂S"",""B"",""Easy"",""Definition-Based Knowledge"",""Acids and Bases"",""Chemical Formulas"""
"""Q056"",""Mathematics"",""The probability of getting a head in a coin toss is:"",""A) 1/4;B) 1/3;C) 1/2;D) 1"",""C"",""Easy"",""Conceptual Understanding"",""Probability"",""Basic Probability"""
"""Q057"",""Physics"",""A 2 kg ball moving at 5 m/s collides elastically with a stationary 2 kg ball. What is the final velocity of the first ball?"",""A) 0 m/s;B) 2.5 m/s;C) 5 m/s;D) 10 m/s"",""A"",""Hard"",""Analytical Skills"",""Laws of Motion"",""Elastic Collisions"""
"""Q058"",""Chemistry"",""Which is an exothermic process?"",""A) Melting;B) Vaporization;C) Combustion;D) Sublimation"",""C"",""Medium"",""Conceptual Understanding"",""Thermodynamics"",""Exothermic Reactions"""
"""Q059"",""Mathematics"",""What is the sum of angles in a triangle?"",""A) 90°;B) 180°;C) 270°;D) 360°"",""B"",""Easy"",""Definition-Based Knowledge"",""Geometry"",""Properties of Triangles"""
"""Q060"",""Physics"",""A wire of resistance 10 Ω is stretched to double its length. What is the new resistance?"",""A) 20 Ω;B) 30 Ω;C) 40 Ω;D) 50 Ω"",""C"",""Hard"",""Analytical Skills"",""Electricity"",""Resistance and Resistivity"""
"""Q061"",""Physics"",""A battery has an emf of 12 V and internal resistance of 2 Ω. What is the terminal voltage when a 4 Ω resistor is connected?"",""A) 8 V;B) 9 V;C) 10 V;D) 12 V"",""A"",""Hard"",""Formula Application"",""Electricity"",""Internal Resistance"""
